,logFC,AveExpr,t,P.Value,adj.P.Val,B,GeneSymbol
238994_at,0.266151864,5.981348514,2.145518468,0.039165704,0.596582744,-3.67457592,OTUD7B
232017_at,0.314127756,2.467635926,2.145453576,0.039171276,0.596582744,-3.674681151,TJP2
229350_x_at,0.433082938,6.747027079,2.145327338,0.039182118,0.596582744,-3.67488586,PARP10
237666_at,0.356118906,3.224586257,2.145326213,0.039182215,0.596582744,-3.674887684,XRRA1
212152_x_at,0.220011214,7.714808599,2.145322976,0.039182493,0.596582744,-3.674892934,ARID1A
222388_s_at,-0.36478215,7.507106163,-2.145011701,0.039209239,0.596582744,-3.675397658,VPS35
213920_at,-0.39422133,5.64901128,-2.144980079,0.039211957,0.596582744,-3.675448929,CUX2
239363_at,0.287274745,5.374561725,2.144933519,0.039215959,0.596582744,-3.67552442,INIP
222812_s_at,0.265788555,2.291726221,2.144884699,0.039220156,0.596582744,-3.675603574,RHOF
201139_s_at,-0.282755216,7.462691295,-2.144671196,0.039238514,0.596582744,-3.675949719,SSB
226062_x_at,0.226295592,7.742362538,2.144660699,0.039239417,0.596582744,-3.675966737,MINDY1
205866_at,0.248974469,3.240822257,2.144608027,0.039243948,0.596582744,-3.676052127,FCN3
201018_at,-0.356734086,6.280883898,-2.144497263,0.039253476,0.596582744,-3.676231692,EIF1AX
219389_at,-0.481886358,6.948753124,-2.144302255,0.039270257,0.596582744,-3.676547811,SUSD4
216866_s_at,-0.310379534,2.333596287,-2.144116348,0.03928626,0.596660079,-3.676849157,COL14A1
240091_at,0.286369397,1.732941044,2.143575217,0.039332876,0.596806287,-3.677726199,PSMA8
224790_at,-0.361295807,6.473827989,-2.143381568,0.039349569,0.596806287,-3.678040019,ASAP1
242854_x_at,0.453083549,3.653951249,2.143381504,0.039349575,0.596806287,-3.678040123,DLEU2
1552303_a_at,0.230587578,2.793695647,2.143355948,0.039351778,0.596806287,-3.678081536,TMEM106A
206547_s_at,-0.23299225,2.233074588,-2.143197271,0.039365463,0.596806287,-3.678338663,PPEF1
208851_s_at,-0.411093419,5.887668655,-2.143118052,0.039372296,0.596806287,-3.678467028,THY1
219264_s_at,0.320738179,2.836322202,2.142676007,0.039410446,0.597001608,-3.679183247,PPP2R3B
232621_at,0.269712875,4.838945496,2.142633845,0.039414086,0.597001608,-3.679251554,USP48
214629_x_at,-0.400461757,10.01947052,-2.142462799,0.039428858,0.597001608,-3.679528656,RTN4
232429_at,-0.26213971,1.96437813,-2.142291307,0.039443673,0.597060584,-3.679806466,DTWD1
213009_s_at,-0.285284792,9.118060865,-2.141967148,0.039471691,0.597272083,-3.680331545,TRIM37
201990_s_at,-0.464923227,4.095615272,-2.141743025,0.039491072,0.597272083,-3.680694551,CREBL2
229798_s_at,-0.283791127,5.149511254,-2.14161104,0.03950249,0.597272083,-3.68090831,BRI3
232043_at,0.291592107,3.39690063,2.141548614,0.039507892,0.597272083,-3.68100941,GNG7
218156_s_at,0.228005598,3.648374848,2.141249204,0.039533807,0.597274505,-3.681494281,TSR1
217982_s_at,-0.213265768,11.49578371,-2.141243808,0.039534274,0.597274505,-3.681503019,MORF4L1
219437_s_at,-0.252332762,5.998575757,-2.140891987,0.039564745,0.597444896,-3.682072702,ANKRD11
41220_at,-0.48865071,6.142072148,-2.140608686,0.039589297,0.597444896,-3.682531386,SEPTIN9
224724_at,-0.284622282,5.091250367,-2.140255145,0.039619955,0.597444896,-3.68310373,SULF2
221473_x_at,-0.24109414,3.618771555,-2.140092986,0.039634024,0.597444896,-3.683366225,SERINC3
211701_s_at,-0.272363133,4.577655901,-2.139874662,0.039652973,0.597444896,-3.683719616,TRO
224938_at,-0.463365317,3.15892592,-2.139865458,0.039653772,0.597444896,-3.683734513,NUFIP2
225408_at,0.406377107,6.573783437,2.139853337,0.039654824,0.597444896,-3.683754132,MBP
1555689_at,-0.267416127,1.540257929,-2.139524305,0.039683398,0.597463371,-3.684286666,CD80
229657_at,-0.358124631,6.349448585,-2.139318513,0.039701279,0.597463371,-3.684619708,THRB
201555_at,0.223912292,3.946978644,2.13918919,0.039712519,0.597463371,-3.684828985,MCM3
242872_at,0.299605551,4.982446386,2.139187018,0.039712708,0.597463371,-3.684832499,CIT
215821_x_at,0.226404804,2.620258019,2.139084571,0.039721614,0.597463371,-3.684998278,PSG3
218334_at,-0.427401819,7.093432834,-2.13892878,0.039735161,0.597463371,-3.685250364,THOC7
232112_at,-0.391114362,4.505278658,-2.138833244,0.039743471,0.597463371,-3.685404947,RALGPS2
229509_at,-0.246332288,2.467296595,-2.138517586,0.039770937,0.597564072,-3.68591566,MFSD8
207501_s_at,-0.338494464,4.691687713,-2.138348672,0.039785642,0.597564072,-3.68618893,FGF12
1569620_s_at,0.361180039,2.880878841,2.138219133,0.039796922,0.597564072,-3.686398487,LOC100128079
226213_at,0.447797889,4.962504699,2.138164067,0.039801718,0.597564072,-3.686487566,ERBB3
221865_at,-0.486993605,5.681069445,-2.13805344,0.039811355,0.597564072,-3.686666519,TMEM268
208929_x_at,0.258470308,5.044952229,2.137886878,0.039825868,0.597564072,-3.68693594,RPL13
229553_at,-0.544376764,6.642441207,-2.137877612,0.039826675,0.597564072,-3.686950929,PGM2L1
204628_s_at,0.220641327,3.226190111,2.137715817,0.039840778,0.597611665,-3.687212624,ITGB3
221727_at,-0.611873247,6.052245157,-2.137455116,0.03986351,0.597788649,-3.687634266,SUB1
229254_at,-0.427647819,6.499770371,-2.137202299,0.039885566,0.597789606,-3.688043121,MFSD4A
201597_at,-0.486011211,7.326647515,-2.137040955,0.039899648,0.597789606,-3.688304028,COX7A2
201435_s_at,-0.340736746,6.566695761,-2.136872205,0.03991438,0.597789606,-3.688576896,EIF4E
225561_at,-0.301751422,6.571868356,-2.136827984,0.039918241,0.597789606,-3.688648397,SELENOT
227521_at,-0.218004961,3.264151982,-2.136064795,0.039984937,0.59849634,-3.689882256,FBXO33
232371_at,0.319181152,6.592247077,2.136037458,0.039987327,0.59849634,-3.689926446,MARCHF7
203638_s_at,0.363131942,5.286830207,2.135319312,0.04005018,0.598557773,-3.691087182,FGFR2
228492_at,-0.589583893,2.315279069,-2.135028067,0.040075695,0.598557773,-3.691557839,USP9Y
227098_at,0.298880793,2.329302444,2.134915969,0.040085519,0.598557773,-3.691738978,DUSP18
1558703_at,0.302291894,4.741781337,2.13487353,0.040089239,0.598557773,-3.691807555,SLC46A1
207660_at,-0.298058826,2.928921112,-2.134579471,0.040115022,0.598557773,-3.692282687,DMD
205212_s_at,0.286838889,4.763469856,2.134302974,0.04013928,0.598557773,-3.692729401,ACAP1
1570405_at,0.315002249,4.137149511,2.134286188,0.040140753,0.598557773,-3.692756518,SKOR1-AS1
228761_at,0.206307629,2.608354339,2.134258043,0.040143223,0.598557773,-3.692801988,SCRT1
213313_at,-0.328860877,9.010200652,-2.134129808,0.040154478,0.598557773,-3.693009148,GPR21
213592_at,0.610894957,5.187273873,2.133911966,0.040173605,0.598557773,-3.693361047,APLNR
200846_s_at,0.268749271,5.40314105,2.13377623,0.040185527,0.598557773,-3.6935803,PPP1CA
228509_at,-0.504130511,6.946784427,-2.133762364,0.040186745,0.598557773,-3.693602697,SPHKAP
209695_at,0.442215969,6.452838631,2.133688417,0.040193242,0.598557773,-3.693722139,PTP4A3
212627_s_at,-0.305728343,4.924613224,-2.133503519,0.040209489,0.598557773,-3.694020777,EXOSC7
211916_s_at,0.337751531,2.770924274,2.133500066,0.040209793,0.598557773,-3.694026354,MYO1A
200675_at,0.273525234,8.334643414,2.133413063,0.04021744,0.598557773,-3.69416687,CD81
1552879_a_at,-0.306153175,3.159448537,-2.133326581,0.040225043,0.598557773,-3.694306542,ATOH7
231869_at,-0.363602233,5.901620876,-2.133304247,0.040227007,0.598557773,-3.694342611,KIAA1586
218438_s_at,-0.403435887,4.052499222,-2.133099955,0.040244972,0.598557773,-3.69467253,MED28
214251_s_at,0.244312127,5.059513007,2.133047432,0.040249592,0.598557773,-3.694757347,NUMA1
209822_s_at,-0.408248541,2.208134719,-2.132980669,0.040255466,0.598557773,-3.694865158,VLDLR
208190_s_at,0.338762498,3.336890156,2.132888761,0.040263552,0.598557773,-3.695013572,LSR
234318_x_at,0.310996778,3.221582927,2.13283916,0.040267917,0.598557773,-3.695093664,NDOR1
224516_s_at,0.359117318,4.8263578,2.132746543,0.040276069,0.598557773,-3.695243215,CXXC5
233809_at,-0.415319884,4.506522271,-2.132236118,0.040321018,0.598712418,-3.69606732,HYPK
227767_at,-0.283410151,2.474812556,-2.132158283,0.040327876,0.598712418,-3.696192976,CSNK1G3
1553865_a_at,-0.571830788,2.988086867,-2.132002751,0.040341583,0.598712418,-3.696444055,GPR26
244266_at,0.221816617,1.977838892,2.131838369,0.040356075,0.598712418,-3.696709405,AKR1C2
229255_x_at,0.276106117,7.823392612,2.131715094,0.040366946,0.598712418,-3.696908392,GOSR2
233366_at,-0.172621527,1.458797412,-2.131643825,0.040373232,0.598712418,-3.697023426,FBXO4
227561_at,0.279130257,4.267659106,2.131434285,0.040391719,0.598811608,-3.697361629,DDR2
214446_at,0.539518102,5.359426251,2.1312289,0.040409846,0.59891795,-3.697693103,ELL2
202664_at,0.279903583,2.421472705,2.130903308,0.040438597,0.599117534,-3.698218532,WIPF1
212915_at,-0.351045884,3.280866524,-2.130828255,0.040445228,0.599117534,-3.698339643,PDZRN3
244680_at,-0.526799816,5.201294542,-2.130588449,0.040466418,0.599133371,-3.698726586,GLRB
208789_at,0.341366239,4.403444051,2.130329287,0.040489331,0.599133371,-3.699144726,CAVIN1
217133_x_at,-0.299219561,7.275533983,-2.130306826,0.040491317,0.599133371,-3.699180964,CYP2B6
212866_at,0.225618064,2.922761517,2.129998508,0.040518591,0.599133371,-3.699678363,R3HCC1
1554277_s_at,-0.309563078,2.739527071,-2.12999128,0.040519231,0.599133371,-3.699690024,FANCM
203264_s_at,-0.296323516,6.398460267,-2.129890124,0.040528183,0.599133371,-3.699853203,ARHGEF9
236984_at,0.189817506,1.574555189,2.129824839,0.040533961,0.599133371,-3.699958514,ODAPH
233851_s_at,0.299873056,4.365518699,2.129591975,0.040554579,0.599260872,-3.700334129,TOR3A
214775_at,0.230632292,2.955909094,2.129479862,0.040564508,0.599260872,-3.70051496,N4BP3
221256_s_at,0.257803957,2.82445945,2.129176889,0.040591352,0.599351056,-3.701003598,HDHD3
1559840_s_at,0.269982383,2.021287515,2.129039856,0.040603499,0.599351056,-3.701224591,TBX18
1553300_a_at,-0.295700748,3.509940252,-2.128356843,0.04066409,0.600083427,-3.702325926,DGKH
219142_at,-0.428035326,6.186121947,-2.128224563,0.040675833,0.600094764,-3.702539193,RASL11B
205001_s_at,-0.779973945,4.502297793,-2.127703036,0.040722164,0.600205952,-3.703379928,DDX3Y
230280_at,-0.625068889,5.147832212,-2.127612323,0.040730228,0.600205952,-3.703526148,TRIM9
226748_at,-0.255649272,1.793165032,-2.127551463,0.040735638,0.600205952,-3.703624246,LYSMD2
209531_at,0.315013152,5.019524232,2.127497102,0.040740472,0.600205952,-3.703711865,GSTZ1
230685_at,0.229928077,3.22219093,2.127417548,0.040747546,0.600205952,-3.70384009,SLC12A2-DT
242294_at,-0.480720013,4.397073977,-2.127318656,0.040756341,0.600205952,-3.703999479,FBXO45
217562_at,-0.53715912,2.962249718,-2.127257932,0.040761743,0.600205952,-3.704097347,BRINP3
207547_s_at,0.398525254,6.524595635,2.127151725,0.040771192,0.600205952,-3.704268515,FAM107A
211704_s_at,0.25757534,6.687183206,2.12693434,0.040790538,0.600269774,-3.704618844,SPIN2B
239481_at,-0.32473045,2.188751998,-2.126856302,0.040797485,0.600269774,-3.7047446,FAM133A
216768_x_at,0.212888916,6.038188556,2.126487119,0.040830364,0.600377922,-3.705339484,TTC38
238866_at,-0.303717252,7.253536035,-2.126176678,0.040858029,0.600377922,-3.705839656,ZSWIM9
237106_at,0.249230856,4.432959015,2.126157496,0.040859739,0.600377922,-3.70587056,SLC11A2
240810_at,0.243305366,2.832312449,2.125579299,0.040911313,0.600665769,-3.706801984,MKNK1-AS1
1563742_at,-0.239295718,1.698736136,-2.125302939,0.040935984,0.600665769,-3.707247111,LINC00842
200847_s_at,-0.660966635,7.324665243,-2.125216054,0.040943743,0.600665769,-3.707387047,SARAF
234921_at,0.286361522,2.17432671,2.125099259,0.040954175,0.600665769,-3.707575147,ZNF470
220335_x_at,0.22477404,5.940792516,2.124971418,0.040965596,0.600665769,-3.70778103,CES3
207099_s_at,-0.33790732,4.100961355,-2.124904511,0.040971575,0.600665769,-3.707888776,CHM
238128_at,-0.295389213,2.155311429,-2.12480655,0.04098033,0.600665769,-3.708046529,TMEM200C
212035_s_at,0.270518953,4.62377401,2.124779041,0.040982788,0.600665769,-3.708090826,EXOC7
226994_at,-0.470610715,3.152329498,-2.124693194,0.040990463,0.600665769,-3.708229065,DNAJA2
225250_at,-0.218336471,2.247362134,-2.124504442,0.04100734,0.600665769,-3.708532997,STIM2
220145_at,-0.431839164,7.439047663,-2.124453835,0.041011866,0.600665769,-3.708614481,MAP9
217813_s_at,-0.403490427,4.295600505,-2.124261128,0.041029105,0.600665769,-3.708924754,SPIN1
229170_s_at,0.332926335,2.481759947,2.124232261,0.041031688,0.600665769,-3.708971232,CFAP70
238433_at,0.224688652,1.910713763,2.124216093,0.041033135,0.600665769,-3.708997262,SNX5
200690_at,-0.654221592,4.943293632,-2.123954102,0.041056584,0.600684028,-3.70941905,HSPA9
210996_s_at,-0.266544181,9.360183327,-2.123897609,0.041061642,0.600684028,-3.709509995,YWHAE
216060_s_at,-0.41479805,5.20172315,-2.123239315,0.041120621,0.600684028,-3.710569616,DAAM1
213690_s_at,0.253049662,5.87471139,2.123083794,0.041134566,0.600684028,-3.710819915,PTOV1-AS2
209879_at,0.304983063,4.336602449,2.12288597,0.04115231,0.600684028,-3.711138277,SELPLG
230068_s_at,-0.55018845,6.694629966,-2.122717857,0.041167394,0.600684028,-3.711408809,PEG3-AS1
204451_at,-0.37047937,3.238958943,-2.122652293,0.041173278,0.600684028,-3.711514313,FZD1
1559507_at,0.300480467,3.193841175,2.122479313,0.041188806,0.600684028,-3.711792654,LOC100130357
234042_at,0.419159877,2.140829407,2.122444845,0.041191901,0.600684028,-3.711848114,TAS2R45
208104_s_at,0.235203481,6.026612798,2.122305436,0.04120442,0.600684028,-3.712072422,TSC22D4
223263_s_at,-0.500000142,3.56682449,-2.12221201,0.041212811,0.600684028,-3.712222737,FGFR1OP2
223276_at,0.374609861,4.302957397,2.122189936,0.041214794,0.600684028,-3.712258251,SMIM3
225490_at,0.423411079,4.020268654,2.122092827,0.041223519,0.600684028,-3.712414486,ARID2
208876_s_at,0.309805636,7.166331862,2.121610054,0.041266916,0.600702814,-3.713191125,PAK2
201579_at,0.368510705,5.345482142,2.121550548,0.041272267,0.600702814,-3.713286843,FAT1
218297_at,-0.259694008,3.05468272,-2.121414082,0.041284543,0.600702814,-3.713506349,MINDY3
